Country,Chocolate consumption (kg/year/capita),Coffee consumption (kg/year/capita),Number of Nobel laureates
Australia,4.8,3,10
Austria,8.5,5.5,21
Belgium,6.4,4.5,11
Brazil,1.2,5.8,7
Canada,3.9,6.5,18
China,0.7,,9
Croatia,6.6,4.9,4
Denmark,6.9,8.7,13
Estonia,8.8,6.5,1
Finland,7.4,12,5
France,3.4,5.4,65
Germany,11.1,6.5,102
Greece,2.5,5.5,2
Hungary,2.9,3.1,13
Ireland,8.8,2.8,9
Italy,3.1,5.9,20
Japan,1.8,3.3,25
The Netherlands,4.5,6.8,16
Norway,9.2,9.9,13
Poland,2.2,3.1,4
Portugal,3.6,4,1
Romania,3.6,2.3,4
Spain,4.5,4.5,6
Sweden,4.4,7.9,30
Switzerland,10.3,7.9,24
UK,8.1,4.5,87
USA,5.3,4.2,326
