height,weight,gender,gender_male
30613.50062,144.4803479,female,0
28431.81308,138.9318469,male,1
31144.09107,138.5365945,female,0
34310.26351,139.3804654,male,1
28109.36131,137.3203497,male,1
28109.41636,135.7967421,female,0
34518.71488,147.3720302,male,1
31568.17369,142.0130327,female,0
27325.82771,137.9003916,female,0
30774.14129,135.0366242,male,1
27345.85544,139.2698819,male,1
27338.20926,133.6593493,female,0
29728.5263,146.5861157,female,0
22760.9113,121.9876597,male,1
23332.81352,135.0552299,male,1
27019.83913,133.1781163,male,1
25558.95688,126.6787544,male,1
29978.31607,134.1518075,female,0
25895.16892,128.8581431,female,0
24297.62759,130.0593112,female,0
34098.01845,144.9424213,female,0
28137.45807,131.0026185,male,1
29130.0519,135.2158681,male,1
24258.84691,138.5876109,female,0
27078.73399,140.9158022,female,0
29278.36719,137.7362313,female,0
25119.10046,129.4350495,female,0
30191.48816,137.4786467,female,0
26893.90514,135.0643964,female,0
27916.74978,128.4275684,female,0
26890.4026,130.7045843,female,0
35540.83927,135.9184706,female,0
28854.12765,136.9286295,male,1
25415.65808,132.9474251,female,0
31764.31071,136.6967922,male,1
24898.17751,136.7657156,male,1
29614.49862,129.9154897,female,0
22621.15228,117.879775,female,0
24560.57525,129.4813288,male,1
29573.20364,141.2197977,male,1
31465.31966,147.1119714,female,0
29485.58886,133.5624201,male,1
28508.13329,139.8151628,female,0
27885.31378,133.3019392,female,0
24091.62796,126.7442535,female,0
26504.34726,135.8190786,male,1
27355.04699,135.9584205,male,1
32605.96631,132.4036503,female,0
30080.10954,144.1007932,male,1
23216.49453,133.085256,male,1
30012.38854,133.4926063,male,1
27605.54908,135.0536063,male,1
26644.28754,134.0855409,male,1
31017.11417,139.3617503,male,1
32511.69438,137.4034718,male,1
32153.08067,136.2982838,female,0
26117.08903,130.676142,male,1
27858.23915,139.3175832,male,1
30037.26921,139.3743179,male,1
32312.02226,138.024654,male,1
27293.76839,136.4626224,male,1
28272.2064,119.828992,male,1
25260.8588,135.2121536,male,1
24975.98851,120.320398,male,1
31728.60762,137.2504244,female,0
33695.1548,136.1828507,male,1
28655.68413,128.166542,male,1
32412.71968,145.8217984,male,1
30142.64055,134.4696741,male,1
26748.21078,133.5069206,female,0
30141.80574,136.5723751,female,0
34365.87997,145.075387,female,0
